2026-04-06 23:20:48 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:49 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:51 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:51 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:51 | ERROR    | core.market_data | Error fetching bars for BTC/USD: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:52 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:53 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:55 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:55 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:55 | ERROR    | core.market_data | Error fetching bars for BTC/USD: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:55 | WARNING  | __main__ | Failed to fetch data for BTC/USD
2026-04-06 23:20:56 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:57 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:59 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:59 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:59 | ERROR    | core.market_data | Error fetching bars for BTC/USD: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:20:59 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:01 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:03 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:03 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:03 | ERROR    | core.market_data | Error fetching bars for BTC/USD: {"message":"invalid symbol: BTCUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:03 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:05 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:07 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:07 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:07 | ERROR    | core.market_data | Error fetching bars for ETH/USD: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:07 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:09 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:11 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:11 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:11 | ERROR    | core.market_data | Error fetching bars for ETH/USD: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:11 | WARNING  | __main__ | Failed to fetch data for ETH/USD
2026-04-06 23:21:11 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:13 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:15 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:15 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:15 | ERROR    | core.market_data | Error fetching bars for ETH/USD: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:15 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:16 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:19 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:19 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:19 | ERROR    | core.market_data | Error fetching bars for ETH/USD: {"message":"invalid symbol: ETHUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:19 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

